,time,x,y,z,body
0,0,-3072.6700000000005,3952.368,1.7560700311693553e-14,Ember Twin
1,1,-3314.5296054682854,3807.707667787607,1.4617082496407474e-14,Ember Twin
2,2,-3543.679556542837,3652.010235252381,1.1486565528404423e-14,Ember Twin
3,3,-3759.2710461366364,3485.5287268788243,8.209177297588535e-15,Ember Twin
4,4,-3960.527050324465,3308.5391690762576,4.8268236414355596e-15,Ember Twin
5,5,-4146.745930603307,3121.3429877494573,1.382752522230689e-15,Ember Twin
6,6,-4317.304417477894,2924.2694296815675,-2.0789989565730007e-15,Ember Twin
7,7,-4471.659956378134,2717.6779566922924,-5.514167624232376e-15,Ember Twin
8,8,-4609.352403902821,2501.960560831624,-8.87883020716782e-15,Ember Twin
9,9,-4730.005069467733,2277.543948895672,-1.2129964947372323e-14,Ember Twin
10,10,-4833.32510452922,2044.8915453094023,-1.522600169372559e-14,Ember Twin
11,11,-4919.103248569985,1804.5052639046678,-1.8127353432552655e-14,Ember Twin
12,12,-4987.212947886726,1556.9270013141622,-2.0796922461090025e-14,Ember Twin
13,13,-5037.608869826093,1302.7398075777405,-2.3200574731748154e-14,Ember Twin
14,14,-5070.324841396397,1042.5686930818486,-2.5307576302037274e-14,Ember Twin
15,15,-5085.4712470617205,777.0810350828659,-2.709098630955502e-14,Ember Twin
16,16,-5083.231925932263,506.98655174961846,-2.852800144731902e-14,Ember Twin
17,17,-5063.860613435571,233.0368168406476,-2.9600247534862286e-14,Ember Twin
18,18,-5027.676976830277,-43.975706256920006,-3.029401445696073e-14,Ember Twin
19,19,-4975.062297557496,-323.219126428923,-3.060043146598362e-14,Ember Twin
20,20,-4906.454856373503,-603.824091722961,-3.051558060638966e-14,Ember Twin
21,21,-4822.345079438187,-884.8862638115627,-3.0040546811083155e-14,Ember Twin
22,22,-4723.270505023409,-1165.4692960353618,-2.9181404029080715e-14,Ember Twin
23,23,-4609.810631239852,-1444.6083044131262,-2.794913756186494e-14,Ember Twin
24,24,-4482.581705155823,-1721.3138144343661,-2.6359503601459843e-14,Ember Twin
25,25,-4342.231512901895,-1994.5761600121423,-2.443282776622346e-14,Ember Twin
26,26,-4189.434228836353,-2263.3703047513695,-2.2193745210349832e-14,Ember Twin
27,27,-4024.885379612132,-2526.6610497630845,-1.9670885630131544e-14,Ember Twin
28,28,-3849.296976069794,-2783.4085867046642,-1.6896507194603532e-14,Ember Twin
29,29,-3663.392862324847,-3032.5743496231057,-1.3906084081259452e-14,Ember Twin
30,30,-3467.9043272714734,-3273.127114590529,-1.0737852890753798e-14,Ember Twin
31,31,-3263.566019045838,-3504.0492921091177,-7.432323740291016e-15,Ember Twin
32,32,-3051.1121978446818,-3724.3433538808995,-4.031762287033198e-15,Ember Twin
33,33,-2831.2733569486313,-3933.0383328321705,-5.796493045569082e-16,Ember Twin
